 format: day,hour,forecast,value  location:102_83 Start : 20171201 
 5,1400,+16,291.000000 
 5,1400,+19,284.000000 
 5,1400,+22,298.000000 
 5,1400,+25,297.000000 
 5,1400,+28,275.000000 
 5,1400,+31,305.000000 
 5,1400,+34,262.000000 
 5,1400,+37,252.000000 
 5,1400,+40,265.000000 
 5,1400,+43,225.000000 
 5,1400,+46,343.000000 
 5,1400,+49,322.000000 
 5,1700,+4,294.000000 
 5,1700,+7,263.000000 
 5,1700,+10,265.000000 
 5,1700,+13,291.000000 
 5,1700,+16,284.000000 
 5,1700,+19,298.000000 
 5,1700,+22,297.000000 
 5,1700,+25,275.000000 
 5,1700,+28,305.000000 
 5,1700,+31,262.000000 
 5,1700,+34,252.000000 
 5,1700,+37,265.000000 
 5,1700,+40,225.000000 
 5,1700,+43,343.000000 
 5,1700,+46,322.000000 
 5,2000,+4,287.000000 
 5,2000,+7,305.000000 
 5,2000,+10,294.000000 
 5,2000,+13,266.000000 
 5,2000,+16,291.000000 
 5,2000,+19,284.000000 
 5,2000,+22,297.000000 
 5,2000,+25,286.000000 
 5,2000,+28,284.000000 
 5,2000,+31,249.000000 
 5,2000,+34,267.000000 
 5,2000,+37,232.000000 
 5,2000,+40,339.000000 
 5,2000,+43,318.000000 
 5,2000,+46,305.000000 
 5,2000,+49,308.000000 
 5,2000,+52,309.000000 
 5,2000,+55,314.000000 
 5,2000,+58,308.000000 
 5,2000,+61,301.000000 
 5,2000,+64,306.000000 
 5,2000,+67,313.000000 
 5,2300,+4,305.000000 
 5,2300,+7,294.000000 
 5,2300,+10,266.000000 
 5,2300,+13,291.000000 
 5,2300,+16,284.000000 
 5,2300,+19,297.000000 
 5,2300,+22,286.000000 
 5,2300,+25,284.000000 
 5,2300,+28,249.000000 
 5,2300,+31,267.000000 
 5,2300,+34,232.000000 
 5,2300,+37,339.000000 
 5,2300,+40,318.000000 
 5,2300,+43,305.000000 
 5,2300,+46,308.000000 
 5,2300,+49,309.000000 
 5,2300,+52,314.000000 
